Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj Pts,Pts/ip,2025 proj pts,Diff,Rotation Rank,sp z,ADP,DIff,Frozen,35.99704685,,,
Bryce Miller,SEA,SP,141.7,126,9,0,4.14,1.21,65,130,42,21,26,26,8,0,140,0.9880028229,,140,5,-0.1331706465,28,53,,,,,
Jeffrey Springs,ATH,SP,162.3,138,9,0,4.61,1.32,83,162,52,27,29,29,10,0,140,0.8626001232,,140,2,-0.1331706465,150,-68,,,,,
Nick Martinez,TB,"SP,RP",144.5,112,8,0,4.33,1.28,70,145,39,19,41,22,9,0,140,0.9688581315,,140,4,-0.1331706465,123,-40,,,,,
Bubba Chandler,PIT,SP,144.1,136,8,0,4.19,1.31,67,135,54,18,33,26,8,0,138,0.9576682859,,138,3,-0.1887307597,129,-45,,,,,
Noah Cameron,KC,SP,147.8,125,9,0,4.25,1.3,70,144,49,20,27,27,9,0,138,0.9336941813,,138,5,-0.1887307597,,85,,,,,
Matthew Liberatore,STL,SP,148,122,8,0,4.34,1.31,71,147,46,19,28,28,10,0,137,0.9256756757,,137,1,-0.2165108163,,86,,,,,
Jameson Taillon,CHC,SP,149.5,116,9,0,4.44,1.24,74,149,36,24,26,27,9,0,136,0.9096989967,,136,4,-0.244290873,136,-49,,,,,
Slade Cecconi,CLE,SP,152.1,127,8,0,4.49,1.26,76,153,39,25,28,28,10,0,135,0.8875739645,,135,4,-0.2720709296,,88,,,,,
Trey Yesavage,TOR,SP,124.5,143,7,0,3.8,1.24,53,102,53,15,31,23,6,0,134,1.076305221,,134,4,-0.2998509862,#N/A,#N/A,,,,,
Reynaldo Lopez,ATL,SP,131.8,133,8,0,3.96,1.27,58,121,46,16,31,23,7,0,134,1.016691958,,134,3,-0.2998509862,61,29,,,,,
Reid Detmers,LAA,RP,136.4,150,8,0,4.2,1.28,64,124,50,19,31,24,8,0,134,0.9824046921,,134,3,-0.2998509862,211,-120,,,,,
Grant Holmes,ATL,SP,128.3,128,7,0,4.23,1.33,60,122,49,17,32,21,7,0,133,1.036632892,,133,4,-0.3276310429,137,-45,,,,,
Dustin May,STL,SP,147.2,131,8,0,4.33,1.31,71,138,54,18,30,25,9,0,133,0.9035326087,,133,2,-0.3276310429,149,-56,,,,,
Chase Burns,CIN,"SP,RP",115.1,138,7,0,3.63,1.16,46,98,36,15,26,21,6,1,132,1.146828844,,132,4,-0.3554110995,229,-135,,,,,
Chad Patrick,MIL,SP,140.8,133,8,0,4.34,1.28,68,133,47,22,27,26,8,0,132,0.9375,,132,3,-0.3554110995,#N/A,#N/A,,,,,
Mike Burrows,HOU,"SP,RP",131.4,131,7,0,4.14,1.26,60,121,45,19,30,25,7,0,131,0.99695586,,131,3,-0.3831911561,#N/A,#N/A,,,,,
Cam Schlittler,NYY,SP,127.1,127,8,0,4.01,1.28,57,114,49,16,24,24,7,0,130,1.02281668,,130,3,-0.4109712127,#N/A,#N/A,,,,,
Cade Horton,CHC,SP,129.5,113,8,0,4.04,1.25,58,118,43,17,24,24,7,0,130,1.003861004,,130,5,-0.4109712127,,98,,,,,
Shane Bieber,TOR,SP,116,107,7,0,3.8,1.18,49,109,28,15,25,19,6,0,130,1.120689655,,130,5,-0.4109712127,145,-46,,,,,
Gerrit Cole,NYY,SP,123,124,8,0,3.85,1.17,53,108,36,17,21,21,6,1,129,1.048780488,,129,4,-0.4387512694,12,88,,,,,
Quinn Priester,MIL,"SP,RP",135,112,8,0,4.12,1.3,62,131,44,16,24,24,8,0,128,0.9481481481,,128,4,-0.466531326,,101,,,,,
Zach Eflin,BAL,SP,142.1,110,9,0,4.39,1.24,69,149,28,22,29,24,8,0,128,0.9007741027,,128,5,-0.466531326,75,27,,,,,
